faculty_full_name,year_id,num_external_grants
Qinwen Mao,2018,
Qinwen Mao,2019,
Qinwen Mao,2020,
Qinwen Mao,2021,
Qinwen Mao,2022,
Qinwen Mao,2023,
Rintaro Hashizume,2011,
Rintaro Hashizume,2012,
Rintaro Hashizume,2013,
Rintaro Hashizume,2014,
Rintaro Hashizume,2015,
Rintaro Hashizume,2016,
Rintaro Hashizume,2017,
Rintaro Hashizume,2018,
Rintaro Hashizume,2019,
Rintaro Hashizume,2020,
Rintaro Hashizume,2021,
Robert J. Vassar,2011,
Robert J. Vassar,2012,
Robert J. Vassar,2013,
Robert J. Vassar,2014,
Robert J. Vassar,2015,
Robert J. Vassar,2016,
Robert J. Vassar,2017,
Robert J. Vassar,2018,
Robert J. Vassar,2019,
Robert J. Vassar,2020,
Robert J. Vassar,2021,
Robert J. Vassar,2022,
Rod S. Passman,2011,
Rod S. Passman,2012,
Rod S. Passman,2013,
Rod S. Passman,2014,
Rod S. Passman,2015,
Rod S. Passman,2016,
Rod S. Passman,2017,
Rod S. Passman,2018,
Rod S. Passman,2019,
Rod S. Passman,2020,
Rod S. Passman,2021,
Sadiya Sana Khan,2012,
Sadiya Sana Khan,2013,
Sadiya Sana Khan,2014,
Sadiya Sana Khan,2015,
Sadiya Sana Khan,2016,
Sadiya Sana Khan,2017,
Sadiya Sana Khan,2018,
Sadiya Sana Khan,2019,
Sadiya Sana Khan,2020,
Sadiya Sana Khan,2021,
Sadiya Sana Khan,2022,
Sanjiv J. Shah,2013,
Sanjiv J. Shah,2014,
Sanjiv J. Shah,2015,
Sanjiv J. Shah,2016,
Sanjiv J. Shah,2017,
Sanjiv J. Shah,2018,
Sanjiv J. Shah,2019,
Sanjiv J. Shah,2020,
Sanjiv J. Shah,2021,
Sanjiv J. Shah,2022,
Sanjiv J. Shah,2023,
Sanjiv J. Shah,2024,
Sherif M. Badawy,2010,
Sherif M. Badawy,2011,
